food_id,nutrition_key,food_name,source,status
316,Daun ubi putih segar,Daun ubi putih segar,nutrition1_indonesia,AVAILABLE
317,Daun ubi tinta segar,Daun ubi tinta segar,nutrition1_indonesia,AVAILABLE
318,Deblo,Deblo,nutrition1_indonesia,AVAILABLE
319,Dendeng belut goreng,Dendeng belut goreng,nutrition1_indonesia,AVAILABLE
320,Dendeng Daging Sapi,Dendeng Daging Sapi,nutrition1_indonesia,AVAILABLE
321,Dendeng mujahir goreng,Dendeng mujahir goreng,nutrition1_indonesia,AVAILABLE
322,Dideh darah ayam,Dideh darah ayam,nutrition1_indonesia,AVAILABLE
323,Dideh darah sapi,Dideh darah sapi,nutrition1_indonesia,AVAILABLE
324,Djibokum masakan,Djibokum masakan,nutrition1_indonesia,AVAILABLE
325,Dodol,Dodol,nutrition1_indonesia,AVAILABLE
326,Dodol bali,Dodol bali,nutrition1_indonesia,AVAILABLE
327,Dodol banjarmasin,Dodol banjarmasin,nutrition1_indonesia,AVAILABLE
328,Dodol galamai,Dodol galamai,nutrition1_indonesia,AVAILABLE
329,Dodol kedondong,Dodol kedondong,nutrition1_indonesia,AVAILABLE
330,Dodol manado,Dodol manado,nutrition1_indonesia,AVAILABLE
331,Dodonkol,Dodonkol,nutrition1_indonesia,AVAILABLE
332,Domba daging gemuk segar,Domba daging gemuk segar,nutrition1_indonesia,AVAILABLE
333,Domba daging kurus  segar,Domba daging kurus  segar,nutrition1_indonesia,AVAILABLE
334,Domba ginjal segar,Domba ginjal segar,nutrition1_indonesia,AVAILABLE
335,Duku,Duku,nutrition1_indonesia,AVAILABLE
336,Durian,Durian,nutrition1_indonesia,AVAILABLE
337,Duwet segar,Duwet segar,nutrition1_indonesia,AVAILABLE
338,Eceng Gondok,Eceng Gondok,nutrition1_indonesia,AVAILABLE
339,Embacang,Embacang,nutrition1_indonesia,AVAILABLE
340,Empal (daging) Goreng masakan,Empal (daging) Goreng masakan,nutrition1_indonesia,AVAILABLE
341,Empal Goreng,Empal Goreng,nutrition1_indonesia,AVAILABLE
342,Emping (kerupuk melinjo),Emping (kerupuk melinjo),nutrition1_indonesia,AVAILABLE
343,Emping beras,Emping beras,nutrition1_indonesia,AVAILABLE
